gene	exprA	exprB
all7627	497.75	1912.75
all7629	597	1864.25
all7630	1280	2855
all7631	584.25	1771.5
all7632	322.75	659
all7633	336.75	201.5
all7644	420.5	801
all7645	198	513.5
all7648	441.5	753.75
all7653	128	211.75
all7654	145.5	171
all7655	284.5	214.5
all7658	73	52
all7659	555	700.75
all7660	2632	5260.75
all7662	640.5	1874.25
all7663	766	1367
all7664	626.5	2218.5
all7665	365.25	1252.5
all7666	358	1000.25
all7668	286.5	348.5
all7671	86.25	86.5
all7672	91	127.75
all7673	538	694.5
all7674	374.75	345.25
all7675	264	195.75
all7676	102	183.5
all7679	391.5	327
all7680	71.5	61.5
all7681	284.75	292.25
all7682	161	308.75
all7686	937	1361.25
all8026	902.25	1796.5
all8087	389.75	308.25
all8545	349.75	570.5
all9019	432.75	498.5
alr0020	7285.5	25517.5
alr0021	28417.5	34636.8
alr0022	25066.8	27693.5
alr0058	810	741
alr0083	978.5	1263
alr0084	759	2643.5
alr0094	1369.75	4097.5
alr0175	1421.5	1847.5
alr0205	476.5	280
alr0222	2432.5	3744
alr0223	6489	8905
alr0224	7213.5	6318.25
alr0225	8989.75	14563.2
alr0226	9310	17406.2
alr0267	187	842.5
alr0277	217.5	224
alr0308	342	1310.5
alr0346	1875.75	3658.75
alr0348	3762.75	10814.2
alr0442	1896.75	5941
alr0488	513	1377.5
alr0489	1589.25	5315.5
alr0523	22153.5	23383.8
alr0524	11660	19433
alr0525	4337.5	17725
alr0528	20430.5	21648.8
alr0529	16927.5	25077.2
alr0530	13993.5	15847
alr0532	11497	26208.2
alr0533	7082.5	9239
alr0534	5828.5	7264.5
alr0535	5614	5367.5
alr0536	3014.5	8262.5
alr0537	3305.25	8783.75
alr0607	146	377
alr0608	232.75	297.25
alr0609	241.75	618.5
alr0610	160	209
alr0611	288	278.5
alr0612	386.5	380
alr0672	416.5	920.25
alr0677	175.75	219
alr0679	204.25	377
alr0681	607	3435.5
alr0683	386	1046
alr0685	2099	5033
alr0691	95.75	250.75
alr0692	221.5	389
alr0693	306.75	658.75
alr0694	349.75	434.5
alr0696	294.5	1286
alr0698	797.5	2444.5
alr0699	965.75	2183.5
alr0700	745	4440.5
alr0702	8633.5	5370
alr0704	211.5	491.5
alr0750	1565.75	4184.5
alr0751	656	1663.25
alr0752	483.5	598.5
alr0760	373.75	726.5
alr0761	570.5	1572.25
alr0762	2784.75	7405
alr0763	364	767.75
alr0764	272	575
alr0765	303	447.25
alr0766	279.75	546.5
alr0791	2212.5	2473
alr0819	2475.5	5940
alr0834	2412	4271
alr0869	4342.5	12583
alr0870	1856.5	9100.75
alr0874	128	532.25
alr0950	2223.5	1812.75
alr0951	2687.75	4297.5
alr0952	5795.5	7329
alr1031	1031.5	1595.75
alr1039	1377.25	1958
alr1080	4802	11924.5
alr1174	4304.25	10909.8
alr1223	5297.75	13073.5
alr1261	8331.5	7179.5
alr1270	660.5	2806
alr1382	309	234
alr1383	278.5	412.5
alr1407	236.5	1051.5
alr1422	726	966.5
alr1423	139.75	249.5
alr1442	107.5	325.5
alr1450	588	1531.75
alr1459	89.75	152.75
alr1461	1729	2834
alr1462	848.5	2923
alr1521	642.5	4590.5
alr1552	519.5	2097.5
alr1594	4545	6467
alr1595	3844	9429.25
alr1596	4374	6762.5
alr1603	824.5	1339.5
alr1706	455.5	603.75
alr1827	3822.5	17844.5
alr1890	1537.25	7682.5
alr1911	171	212.25
alr1952	6826.5	5556.5
alr1956	2154	3750
alr2001	817.25	3004.75
alr2118	526.25	923.5
alr2119	625	426.5
alr2175	190.25	554.25
alr2176	704	932
alr2179	238.5	314.5
alr2185	200.75	200.75
alr2204	278	494.25
alr2211	253.75	170.25
alr2269	1842	7159.5
alr2304	3102.75	8811.5
alr2328	2750	9967.5
alr2339	2282.5	6162
alr2405	5510.5	797.25
alr2481	157	260.75
alr2495	1166.75	5556.75
alr2505	504.75	905.5
alr2514	343.5	1094
alr2515	731.5	2921.25
alr2516	315.25	9488.25
alr2542	1280.5	2530.75
alr2583	247.75	569.5
alr2588	1849.75	2153.25
alr2590	246.75	487.5
alr2592	235.5	213
alr2593	241	327.25
alr2596	293.5	458.5
alr2597	419	1068.5
alr2626	183.5	275
alr2731	193.5	365.25
alr2732	413	1652.75
alr2734	269	1352.25
alr2739	503.25	2334.5
alr2751	1558.25	3087.5
alr2752	1555	7314
alr2803	320.25	471.75
alr2812	1211.5	2379.75
alr2817	302.25	970.5
alr2818	569.25	1219
alr2834	336.25	2314.5
alr2835	153.5	1097
alr2902	207.25	202.25
alr2938	8192.25	17154
alr2968	1545	7024
alr3088	659.5	1632.5
alr3103	1049.25	1534.75
alr3122	1720.5	4604.5
alr3123	1600.5	6344.25
alr3157	713.5	930
alr3182	1112.5	2571.75
alr3210	821.25	1785.75
alr3224	390.25	717.5
alr3225	284.5	937
alr3229	441	767.5
alr3230	799	960.5
alr3234	729.25	804.75
alr3280	8247.25	7106.75
alr3287	649.5	4473.25
alr3293	6217	11169.5
alr3296	795.25	2000.5
alr3331	434.25	546
alr3352	895.75	2859
alr3353	2727.5	6636.5
alr3355	2463.25	5489.5
alr3356	705.25	1024.5
alr3406	1381	3487.5
alr3407	1073	2172.25
alr3421	16697.5	16830.5
alr3422	9381	19427.2
alr3423	1217	4348.5
alr3451	1687.5	5114.75
alr3455	3324.5	6420.5
alr3456	2721.5	8622.5
alr3479	651.5	1798.5
alr3546	611.75	1476.5
alr3561	622.25	2524.25
alr3645	1206.5	4793
alr3647	233.5	419.25
alr3648	737.75	2713
alr3649	383.25	1492
alr3681	593	1540.5
alr3698	249.75	1489.25
alr3710	164.5	1295.5
alr3711	480.25	4245.75
alr3712	369.25	4719
alr3724	443.25	757.25
alr3758	382.25	329.5
alr3762	619.5	1856
alr3800	2446	5277
alr3808	7710.5	5651.25
alr3810	824.75	3118
alr3814	2971.25	4676.25
alr3858	3407.5	7510
alr3887	429	633.25
alr3897	783.75	2050.75
alr3912	344	1034.5
alr3938	1020	2007.5
alr3956	7635	17123.2
alr3957	5602.75	8664
alr4032	337.5	1161.5
alr4044	1458	2476
alr4065	931	1747
alr4072	1571.75	1844
alr4094	1990	3127.5
alr4156	3109.75	8596.5
alr4157	1252.5	2817
alr4232	580	3352
